"data_base" "V1" "modalidade" "origem" "porte" "cliente" "carteira_ativa" "carteira_inadimplida_arrastada" "ativo_problematico" "a_vencer_ate_90_dias" "a_vencer_de_91_ate_360_dias" "a_vencer_de_361_ate_1080_dias" "a_vencer_de_1081_ate_1800_dias" "a_vencer_de_1801_ate_5400_dias" "a_vencer_acima_de_5400_dias" "Taxa_de_juros_Selic_acumulada_no_mes" "Selic_fixada.pelo_Copom" "IBC_Br_indice"
2012-06-30 71 "PF - Outros créditos" "Sem destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 4248635244.81 491640547.42 1185113136.97 1505958155.98 1127299637.95 928938789.82 155538798.47 44310976.02 33255871.75 0.64 8.5 142.28
2012-06-30 72 "PF - Outros créditos" "Sem destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 6215243688.78 673170172.84 1577207698.66 2343947871.53 1481297451.44 1390474960.44 305373051.07 63125279.56 8056038.05 0.64 8.5 142.28
2012-06-30 73 "PF - Outros créditos" "Sem destinação específica" "PF - Sem rendimento" "PF" 15748304256.58 1841359478.92 3158229981.56 6602438310.7 3169048541.09 2709348349.62 946324193.33 206920262.79 5742817.79 0.64 8.5 142.28
2012-06-30 74 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Acima de 20 salários mínimos" "PF" 46676415851.91 230475312.69 1481680282.62 9529116982.15 16079843509.78 11335872836.86 5550862113.26 3884019751.67 221430.96 0.64 8.5 142.28
2012-06-30 75 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Até 1 salário mínimo" "PF" 2900635794.21 117839699.7 637574542.1 342959403.82 777728791.15 668375203.33 593749498.55 410843775.1 248481.56 0.64 8.5 142.28
2012-06-30 76 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Indisponível" "PF" 756351712.39 28695805.96 54756513.9 19476686.46 87114524.29 239923918.48 182828991.69 213601961.82 0 0.64 8.5 142.28
2012-06-30 77 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 4175733285.29 37434425.35 276183110.03 559883032.66 1108713792.67 954534409 781031898.04 724449429.71 533936.62 0.64 8.5 142.28
2012-06-30 78 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 8838729762.68 69221246.8 386242684.63 1193645561.1 2456624633.45 2193509176.69 1508086436.68 1404648345.13 232068.06 0.64 8.5 142.28
2012-06-30 79 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 3776185469.49 27328098.69 270126925.97 423451163.55 858725525.13 832432232.48 758192102.29 870392976.67 447664.81 0.64 8.5 142.28
2012-06-30 80 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 6371182583.22 43524280.85 280983208.03 750746435.03 1372194903.41 1410929861.73 1267824251.09 1519428581.57 643027.68 0.64 8.5 142.28
2012-06-30 81 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 9550134235.19 66483513.38 375083223.57 1188827210.73 2205214723.22 2148244294.22 1829405098.99 2109001104.34 763720.85 0.64 8.5 142.28
2012-06-30 82 "PF - Rural e agroindustrial" "Com destinação específica" "PF - Sem rendimento" "PF" 14913968658.58 180907176.74 1718962737.67 1802658922.15 4508983764.2 4162544403.28 2302347149.85 1906877492.88 2918296.71 0.64 8.5 142.28
2012-06-30 83 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Acima de 20 salários mínimos" "PF" 3679067764.77 63491027.45 157936837.35 661431619.76 1878229492.4 837767170.26 132798489.11 112534279.3 0 0.64 8.5 142.28
2012-06-30 84 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Até 1 salário mínimo" "PF" 418902687.07 82456025.72 88897693.96 47090872.39 199517462.06 16392651.36 2265985.11 100744106.47 0 0.64 8.5 142.28
2012-06-30 85 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Indisponível" "PF" 13054254.46 753042.86 1508559.04 1027037.86 2489158.91 6378257.61 2551110.76 214119.06 0 0.64 8.5 142.28
